小区名;小区地址;建筑年代;建筑类型;物业费用;物业公司;开发商;楼栋总数;房屋总数;附近门店
宝盛里;(海淀清河)海淀区宝盛里小区;1996年建成;板楼/塔板结合;0.54至0.87元/平米/月;北京天鸿宝地物业管理经营有限公司;北京宝晟住房股份有限公司;28栋;3049户;宝盛里店/海淀区清河宝盛里小4号楼底商
永泰园;(海淀清河)永泰庄北路;1980年建成;塔楼/板楼;0.56至1.65元/平米/月;北京佳美物业管理有限责任公司;北京市泰华房地产开发集团有限公司;25栋;3475户;永泰园南门店/海淀区清河长途汽车站东侧敬一堂3号
智学苑;(海淀西二旗)智学苑, 海淀区西二旗西路29号院;1999年建成;塔楼/板楼;0.6至1.5元/平米/月;北京东居物业管理有限公司;北京市安达房地产开发公司;16栋;2315户;西二旗城铁店/海淀西二旗智学苑14号楼105
小南庄社区;(海淀苏州桥)万泉河路小南庄社区;1982年建成;塔楼/板楼/塔板结合;0.66至2.95元/平米/月;北京国广物业管理有限公司;北京城建三建设集团有限公司;37栋;4322户;苏州桥店/海淀区苏州桥西北角小南庄4号楼底商
塔院小区;(海淀牡丹园)塔院;1986年建成;塔楼/板楼/塔板结合;0.436至2.07元/平米/月;北京亿方物业管理有限责任公司;北京城建集团有限责任公司;40栋;3805户;塔院南门店/海淀北土城西路185号
观澳园;(海淀清河)宝盛里观澳园;2005年建成;板楼;1至2元/平米/月;北京天鸿宝地物业管理经营有限公司;北京天鸿房地产开发有限责任公司;12栋;1007户;观澳园店/海淀区观澳园1号楼底商107
曙光花园;(海淀四季青)曙光花园;1997年建成;塔楼/塔板结合;1.71至2.32元/平米/月;深圳市之平物业发展有限公司;北京首开天鸿集团有限公司;11栋;1368户;曙光花园中心店/海淀区彰化路曙光花园望山园10底商
五月华庭;(海淀新街口)文慧园路6号;2001年建成;塔板结合/平房;2.8元/平米/月;中实杰肯道夫物业管理有限公司;北京都鹏地产开发有限公司;3栋;947户;五月华庭店/海淀区文慧园路6号五月华庭底商
华清嘉园;(海淀五道口)中关村东路华清嘉园;1994年建成;塔楼/板楼/塔板结合;1.98至2.28元/平米/月;华润置地(北京)物业管理有限责任公司;华润置地(北京)股份有限公司;19栋;2330户;展春园新店/海淀区展春园17号楼南侧
车道沟南里;(海淀紫竹桥)北洼路11号院;1984年建成;塔楼/板楼;0.82至1.8元/平米/月;北京云建物业管理公司;北京城建集团有限责任公司;32栋;2984户;财智公馆店/海淀区长智路5号
怡美家园;(海淀上地)安宁庄西路15号;2001年建成;塔楼/板楼;1.98元/平米/月;北京城建物业管理有限责任公司;宏大兴业房地产开发有限公司;20栋;1399户;当代城市家园店/海淀区安宁庄西路9号院5号楼1单元102
颐慧佳园;(海淀四季青)颐慧佳园;2004年建成;板楼/塔板结合;2.35至30元/平米/月;北京佳邦物业管理有限公司;北京泽丰房地产开发有限公司;22栋;1540户;颐慧佳园旗舰店/海淀区紫竹院街道板井村蔬菜研究中心
清上园;(海淀安宁庄)清上园东路1号院, 安宁庄东路1号院;2003年建成;板楼/塔板结合;0.89至2元/平米/月;北京天恒瑞海物业管理有限责任公司;北京天恒房地产股份有限公司;10栋;1720户;清上园一店/海淀区清上园6号楼
富力桃园C区;(海淀西三旗)建材城富力桃园;2008年建成;板楼/塔板结合;2.2至18元/平米/月;北京恒富物业管理有限公司;富力（北京）地产开发有限公司;11栋;1696户;富力桃园店/海淀区西三旗建材城东路富力桃园商三07号
百旺茉莉园;(海淀西北旺)德政路南茉莉园;2005年建成;板楼/塔板结合;1.58至4元/平米/月;北京德成永信物业管理有限公司;北京德成兴业房地产开发有限公司;58栋;2132户;百旺茉莉园一店/海淀区茉莉园37号楼1层110
定慧福里;(海淀定慧寺)八里庄路62号院;2009年建成;塔楼/塔板结合;1.5至2.98元/平米/月;北京正源和美物业服务有限公司;北京京华都房地产开发有限公司;5栋;2126户;定慧福里店/海淀区八里庄路62号院定慧福里2号楼底商
永泰西里;(海淀清河)永泰西里;1992年建成;板楼;0.5至0.65元/平米/月;北京天鸿宝地物业管理经营有限公司;北京天鸿房地产开发有限责任公司;25栋;2582户;永泰庄地铁店/海淀区清河永泰西里1号楼南段底商（南一间）
清缘东里;(海淀清河)清缘东里;2003年建成;塔楼/板楼;0.65至1.65元/平米/月;第一物业（北京）股份有限公司;北京旭洲房地产开发有限责任公司;9栋;1516户;清缘东里店/海淀龙岗路底商35-108
远大园五区;(海淀世纪城)远大园;2001年建成;塔楼/板楼;2.52至5元/平米/月;北京世纪颐和物业管理有限责任公司;北京金源鸿大房地产开发有限公司;14栋;1927户;新远大园店/海淀区远大园五区甲三号楼
大河庄苑;(海淀苏州桥)苏州街3号;2003年建成;塔楼/板楼/塔板结合;1.1至2.8元/平米/月;北京中科天伦物业管理有限责任公司;大河房地产开发有限公司;8栋;1301户;大河庄苑店/海淀区苏州街3号大河庄苑4号楼110号底商
上林溪;(海淀安宁庄)安宁庄东路;2010年建成;塔楼/板楼;2元/平米/月;北京鼎春德物业管理有限公司;北京上地房地产开发有限责任公司;24栋;1974户;上林溪店/海淀区安宁庄西路安宁华庭3区5号楼底商
观林园;(海淀清河)宝盛里观林园;2008年建成;板楼;1.5至2.48元/平米/月;北京天鸿宝地物业管理经营有限公司;北京宝晟住房股份有限公司;32栋;1650户;观林园店/观林园26号楼底商
远洋风景;(海淀西直门)德胜门西大街15号;2002年建成;板楼/塔板结合;3.2元/平米/月;北京远洋基业物业管理有限公司;北京天麒伟业房地产开发有限公司;9栋;693户;远洋风景店/海淀区德胜门西大街15号8号楼底墒
知本时代;(海淀西三旗)建材城西二里;2002年建成;板楼/塔板结合;1.5至2元/平米/月;北京宁远物业管理公司;北京新奥广厦房地产开发有限公司;10栋;1320户;知本时代新店/海淀区建材城西路27号1层101
太月园;(海淀知春路)知春路12号;1998年建成;塔楼/板楼;2.48元/平米/月;北京太月物业管理有限责任公司;北京泰跃房地产开发有限责任公司;11栋;2100户;太月园店/海淀区罗庄西里2号楼7门103
稻香园;(海淀苏州桥)苏州街稻香园;1992年建成;塔楼/板楼/塔板结合;1.3元/平米/月;北京精品亿方物业管理有限公司;无开发商;24栋;2293户;稻香园一店/海淀区苏州街3号大河庄苑4号楼107号底商
冠城大通百旺府;(海淀海淀北部新区)北清路永丰产业基地东侧;1999年建成;板楼;2.1至3.88元/平米/月;北京长城物业管理有限公司;北京德成兴业房地产开发有限公司;73栋;2480户;暂无门店信息
世华龙樾;(海淀清河)后屯路世华龙樾;2013年建成;板楼/塔板结合;2.33至3.49元/平米/月;北京城建福安楼寓物业管理有限公司;北京城建兴华地产有限公司;16栋;2568户;莱圳店/海淀区莱圳家园17号楼
双榆树东里;(海淀双榆树)科学院南路双榆树东里;1981年建成;塔楼/板楼/塔板结合;暂无信息;无物业管理服务;无开发商;29栋;2917户;双安店/海淀区双榆树西里8号楼1层7门711
中海枫涟山庄;(海淀西北旺)枫涟山庄;2003年建成;板楼;2.3至2.8元/平米/月;北京中海物业管理有限公司;北京中海发展有限公司;25栋;1249户;西北旺城铁店/海淀区西北旺德政路南茉莉园甲19号楼1层1段102
太阳园;(海淀知春路)大钟寺东路168号;2000年建成;塔楼;1.42至5元/平米/月;北京太月物业管理有限责任公司;北京泰跃房地产开发有限责任公司;17栋;2858户;太阳园西门店/海淀区大钟寺东路太阳园13号楼邮电局
城华园;(海淀学院路)学清路21号院;1997年建成;塔楼/板楼/塔板结合;0.7至1.86元/平米/月;北京鹏翔物业管理有限公司;北京城建集团;8栋;1680户;城华园店/海淀区城华园2号楼106号
乐府江南;(海淀田村)永定路乙1号院;2003年建成;板楼/塔板结合;2.12元/平米/月;北京长城物业管理有限公司;北京天平地开发经营有限公司;13栋;1630户;乐府江南店/海淀区永定路乙1号院2号楼一单元105及103部分商业
铭科苑;(海淀西二旗)西二旗铭科苑, 海淀区安宁庄西路29号院;1997年建成;塔楼/板楼;0.71至1.22元/平米/月;北京东居物业管理有限公司;北京市安达房地产开发公司;14栋;2136户;西二旗一店/海淀区西二旗西路2号院85号楼
西山华府;(海淀马连洼)禧园, 珑园, 马连洼北路西山华府禧园;2008年建成;板楼;2.8至7.6元/平米/月;亿城物业管理有限公司;北京亿城山水房地产开发有限公司;48栋;1699户;亿城国际店/海淀区马连洼北路亿城国际中心1层底商
建设部大院;(海淀甘家口)三里河路9号院;1959年建成;塔楼/板楼/塔板结合;1.5至2.6元/平米/月;北京万科物业管理有限公司;无开发商;36栋;3506户;甘家口壹店/海淀甘家口185号新新商务楼一层底商（由北向南第一间）
恩济里小区;(海淀定慧寺)恩济里;1991年建成;板楼/塔板结合;0.85元/平米/月;北京北宇物业公司;无开发商;23栋;1951户;恩济庄店/海淀区恩济庄96号院2号楼一层底商
华盛家园;(海淀牡丹园)牡丹园北里;2000年建成;塔楼/板楼;2.16元/平米/月;北京华盛家园物业管理有限公司;北京华盛房地产开发有限公司;5栋;882户;华盛家园店/海淀区花园北路20号牡丹北里6号楼一层B
东南小区;(海淀中关村)科学院南路乙12号;1980年建成;塔楼/板楼/塔板结合;1.77至2.17元/平米/月;北京科住物业管理有限公司;中国科学院房产管理所;48栋;3739户;科学院南路店/海淀区科学院南路55号综合商业楼一层04号 链家地产
二里庄小区;(海淀二里庄)志新西路, 志新西路10号;1990年建成;塔楼/板楼;0.5至2.3元/平米/月;北京市海淀区志新物业管理公司;北京城建集团有限责任公司;33栋;2970户;二里庄南店/海淀区志新路16号底墒
定慧西里;(海淀定慧寺)阜成路定慧西里;1989年建成;塔楼/板楼/塔板结合;0.64至1.82元/平米/月;北京房修一物业管理有限公司;北京天鸿房地产开发有限责任公司;28栋;2955户;定慧东里店/海淀区定慧东里27号楼底墒
今日家园;(海淀五棵松)西翠路5号;2000年建成;塔楼/板楼/塔板结合;1.08元/平米/月;北京今日今典物业管理有限责任公司;北京安地房地产开发有限责任公司;18栋;3064户;今日家园店/海淀区西翠路5号今日家园6号楼底商
龙翔路小区;(海淀牡丹园)龙翔路;1990年建成;塔楼/板楼/平房;0.5至2.58元/平米/月;单位自管物业;北京城建集团;20栋;2040户;华盛家园店/海淀区花园北路20号牡丹北里6号楼一层B
牡丹园东里;(海淀牡丹园)牡丹园东里;1989年建成;塔楼/板楼/塔板结合;0.68至2.4元/平米/月;北京市海淀区志新物业管理公司;北京城建集团有限责任公司;17栋;1725户;华盛家园店/海淀区花园北路20号牡丹北里6号楼一层B
清缘里中区;(海淀清河)龙岗路12号清缘里中区;1998年建成;板楼/塔板结合;1.07至1.26元/平米/月;北京嘉瑞物业管理公司;北京恒泰房地产开发有限公司;11栋;2431户;清缘里店/海淀区清河龙岗路清缘里1号楼底商
中鑫嘉园;(海淀牡丹园)牡丹园北路7号院, 牡丹园北里;2001年建成;塔楼;1.98至2.5元/平米/月;北京城建燕远物业管理有限责任公司;北京中鑫源房地产开发集团有限公司;3栋;1119户;马甸店/朝阳区华严北里甲一号
领秀新硅谷1号院;(海淀西二旗)西二旗西路1号院;2010年建成;板楼;2.8至4.2元/平米/月;北京金地物业管理有限责任公司;北京科技园置地有限公司;63栋;1342户;领秀新硅谷店/海淀区西二旗西路2号院85号楼1层单元09
万泉新新家园;(海淀万柳)巴沟南路35号;1991年建成;板楼;3元/平米/月;万通物业管理有限公司;北京万泉花园物业开发有限公司;29栋;1318户;万泉新新东门店/海淀区万柳东路7号7栋105
定慧东里;(海淀定慧寺)定慧东里;1987年建成;塔楼/板楼/塔板结合/平房;0.64至2.7元/平米/月;单位自管物业;北京首开天鸿集团有限公司;28栋;2541户;定慧东里店/海淀区定慧东里27号楼底墒
志强北园;(海淀小西天)志强园;1979年建成;板楼;1元/平米/月;北京华润置地物业管理有限公司;华润置地;29栋;1792户;文慧园二店/海淀区文慧园路10号2幢平房
新康园;(海淀西三旗)建材城西路新康园;1997年建成;塔楼/板楼;0.83至1.2元/平米/月;北京陆凯物业管理有限公司;北京恒泰房地产开发有限公司;11栋;2290户;新康店/昌平区回龙观镇南店村新都家园12号楼111
知春里;(海淀双榆树)中关村街道知春里社区;1984年建成;塔楼/板楼;0.8元/平米/月;北京亿方物业管理有限责任公司;北京市房屋管理局;27栋;3031户;豪景佳苑店/海淀区知春路108号1号楼1层
观景园;(海淀清河)黑泉路宝盛里观景园;2007年建成;板楼;2.17至2.47元/平米/月;北京金泰物业管理有限公司;北京宝晟住房股份有限公司;19栋;1272户;北岸布鲁斯店/海淀区清河黑泉路芳清园1号楼底商
清枫华景园;(海淀学院路)清枫华景园;2004年建成;塔楼/板楼;2.4元/平米/月;北京华清物业管理有限责任公司;北京华清投资有限公司;5栋;1160户;清枫华景店/海淀区学清路清枫华景园汉华世纪大厦A座底商
百旺新城;(海淀西北旺)德政路春晖园;2003年建成;板楼;0.78至1.78元/平米/月;旺达家兴物业管理公司;北京德成置业房地产开发有限公司;47栋;3213户;夏霖园店/海淀区德政路夏霖园11号楼57号底商
中海馥园;(海淀甘家口)增光路37号院;2003年建成;塔板结合;3.25元/平米/月;北京中海物业管理有限公司;北京中海地产有限公司;4栋;932户;中海馥园一店/海淀增光路37号院中海馥园3号楼1层106
宝盛北里;(海淀清河)黑泉路宝盛北里西院;2002年建成;板楼;0.8元/平米/月;北京万佳鑫物业管理有限责任公司;北京宝晟住房股份有限公司;25栋;1833户;观林园店/观林园26号楼底商
人济山庄;(海淀紫竹桥)紫竹院路1号;2001年建成;塔楼;1.8至2.8元/平米/月;北京普瑞物业管理有限公司;北京人济房地产开发有限责任公司;8栋;1365户;人济山庄一店/海淀紫竹院路甲2号商业05号
金晖嘉园;(海淀西直门)西直门北大街58号;1998年建成;塔楼/塔板结合;3.2元/平米/月;北京麦斯顿物业管理有限公司;北京新美房地产开发有限公司;6栋;957户;金晖嘉园店/海淀区德胜门西大街15号1号楼D3
双榆树北里;(海淀双榆树)双榆树北路；双榆树北里;1962年建成;塔楼/板楼;1.33至3.5元/平米/月;单位自管物业;无开发商;24栋;1924户;双榆树当代店/北京市海淀区双榆树北里18号楼
北影小区;(海淀北太平庄)北三环中路77号;1980年建成;塔楼/板楼/塔板结合;0.85至1.85元/平米/月;北京中影星光物业管理有限公司;北京观远房地产开发公司;25栋;2520户;塔院南门店/海淀北土城西路185号
交大嘉园;(海淀西直门)交通大学路1号院;2002年建成;塔楼/平房;2.33元/平米/月;北京东和田园物业管理公司;北京东和嘉业房地产开发有限公司;6栋;1333户;交大嘉园店/海淀区交通大学路1号院交大嘉园3-4号底商
皂君东里;(海淀皂君庙)皂君东里;1980年建成;塔楼/板楼/平房;0.5元/平米/月;北京国联同利物业管理中心;无开发商;46栋;3094户;皂君东里店/海淀学院南路皂君东里13号楼底商
芳清园;(海淀清河)黑泉路宝盛里芳清园;2007年建成;板楼;1.99元/平米/月;北京世纪鑫豪物业管理公司;北京宝晟住房股份有限公司;11栋;875户;北岸布鲁斯店/海淀区清河黑泉路芳清园1号楼底商
东王庄;(海淀五道口)东王庄;1993年建成;塔楼/板楼;0.75元/平米/月;北京市宜文安物业管理中心;无开发商;32栋;2686户;清华东路店/海淀东王庄小区11号楼底商南侧第二间
厂洼小区;(海淀厂洼)厂洼小区;1987年建成;塔楼/板楼/塔板结合;0.8至2.1元/平米/月;街道办事处（委员会）代管物业;无开发商;22栋;1935户;新起点店/海淀怡秀园9号楼6门612
罗庄西里;(海淀知春路)罗庄西里;1992年建成;塔楼/板楼/塔板结合;0.86至4元/平米/月;北京蓟门知春物业管理有限公司;北京住总房地产开发有限责任公司;11栋;1645户;太月园店/海淀区罗庄西里2号楼7门103
兰德华庭;(海淀田村)畅茜园兰德华庭;2003年建成;塔楼/板楼/塔板结合;2.1元/平米/月;北京众邦安泰物业管理有限公司;北京罗兰德房地产开发有限公司;10栋;1400户;畅茜园一店/海淀区畅茜园景宜里底商12号楼5号商铺
强佑清河新城;(海淀清河)北京市海淀区清河嘉园;2007年建成;塔楼/板楼/塔板结合;2.3至4.6元/平米/月;北京强佑物业管理有限公司;北京强佑房地产开发公司;11栋;6186户;强佑新城店/海淀清河嘉园东区1号楼-1层-104
月季园;(海淀马甸)月季园;1993年建成;塔楼/板楼/塔板结合;1.5至2.8元/平米/月;北京务实物业管理中心;北京冠海房地产有限公司;12栋;2353户;冠城南园店/海淀马甸路中航宿舍底墒
兰园;(海淀马连洼)马连洼兰园;1994年建成;板楼;0.9元/平米/月;北京安居物业管理有限公司;北京海开房地产股份有限公司;25栋;1705户;圆明园西路店/海淀马连洼兰园小区14号楼2-15
牡丹园西里;(海淀牡丹园)牡丹园西里;1989年建成;塔楼/板楼;0.8至1.8元/平米/月;北京市海淀区志新物业管理公司;北京城建集团有限责任公司;9栋;948户;花园公寓店/海淀区花园东路30号花园饭店底墒
中海雅园;(海淀紫竹桥)北洼西里22号;1999年建成;塔楼/塔板结合;3元/平米/月;中海物业管理公司;北京中海发展有限公司;17栋;1132户;中海店/海淀北洼路28号商住楼B段一层
甘家口小区;(海淀甘家口)阜成路;1960年建成;塔楼/板楼/塔板结合;0.5至1.75元/平米/月;北京羲和物业管理中心;北京市威凯房地产开发经营公司;27栋;3160户;甘家口壹店/海淀甘家口185号新新商务楼一层底商（由北向南第一间）
领秀新硅谷2号院;(海淀西二旗)西二旗西路2号院;2008年建成;板楼;2.8至4.2元/平米/月;北京金地物业管理有限责任公司;北京科技园置地有限公司;85栋;1217户;西二旗一店/海淀区西二旗西路2号院85号楼
志新村;(海淀二里庄)志新村;1989年建成;塔楼/板楼;0.5至4元/平米/月;北京市海淀区志新物业管理公司;北京城建集团有限责任公司;28栋;2220户;志新东路店/海淀卧虎桥甲6号7号楼1层底商
长河湾;(海淀西直门)高梁桥斜街59号院;2005年建成;板楼/塔板结合;2.65至3.98元/平米/月;北京中坤玉合物业管理有限公司;北京中坤锦绣房地产开发有限公司;20栋;1879户;长河湾北门店/海淀高粱桥斜街59号院2号楼1层105
农科院;(海淀皂君庙)中关村南大街12号;1960年建成;塔楼/板楼/塔板结合;1.94至2.5元/平米/月;单位自管物业;无开发商;37栋;2891户;农科院东门店/北京海淀皂君西里7号楼南侧1幢一层商业
定慧北里;(海淀定慧寺)定慧北里;1996年建成;板楼/塔板结合;0.2至0.85元/平米/月;单位自管物业;无开发商;20栋;2328户;恩济庄店/海淀区恩济庄96号院2号楼一层底商
正源尚峰尚水;(海淀海淀北部新区)温泉镇白家疃西路温泉镇政府东南侧;2012年建成;塔楼/板楼;2.98至3.98元/平米/月;北京正源和美物业服务有限公司;北京世纪正源房地产开发有限公司;33栋;3778户;北辰香麓店/海淀区显龙山路19号1幢1层2座121号
紫金庄园;(海淀苏州桥)万泉河路68号;1998年建成;塔楼;1.13至2.8元/平米/月;北京紫金物业管理有限公司;北京博雅苑置业有限公司;7栋;1594户;紫金庄园一店/北京市海淀区万泉河路68号紫金庄园七号楼底商
蜂鸟家园;(海淀万柳)万柳中路34号;2004年建成;板楼;2.6元/平米/月;北京国世通物业管理有限公司;北京恒宇佳泰房地产开发有限公司;4栋;1280户;万柳店/海淀区蜂鸟家园4号楼14-16号底商（中关村三小对面)
华尔街观典;(海淀六里桥)吴家场路1号院;2006年建成;塔板结合;2.38至4.5元/平米/月;北京中视盛元物业有限公司;北京盛荣房地产开发有限责任公司;4栋;1212户;华尔街店/海淀区吴家场路1号院3号楼底商
韦伯豪家园;(海淀魏公村)魏公村街1号;2000年建成;塔楼/板楼/塔板结合;1.41至2.71元/平米/月;海淀区海房物业管理中心;北京魏公元鼎房地产开发集团有限公司;8栋;1109户;韦伯豪家园店/海淀区韦伯豪家园6号楼对面链家地产
海淀南路;(海淀苏州桥)海淀南路小区;1983年建成;塔楼/板楼/塔板结合;1至1.81元/平米/月;北京亿方物业管理有限责任公司;首开集团;16栋;2232户;万泉河路店/海淀区苏州街75号院22幢平方1号
金隅美和园;(海淀清河)金隅美和园西区;2008年建成;板楼;1.98元/平米/月;北京金隅嘉华物业管理有限公司;北京金隅嘉业房地产开发公司;13栋;1602户;美和园店/海淀区美和园西区6号楼1层105
清景园;(海淀清河)清河龙岗路清景园;2004年建成;板楼;1.65元/平米/月;北京信铭物业管理有限公司;北京社团住宅合作社;4栋;1422户;清景园店/海淀清景园4楼底商
毛纺厂南小区;(海淀清河)清河毛纺路16号院;1975年建成;板楼;1.05元/平米/月;北京市燕海物业管理中心;无开发公司;34栋;2311户;力度店/海淀区清河中介69号院1层63-31
晨月园;(海淀世纪城)蓝靛厂晨月园;2007年建成;塔楼/板楼;1.25至5元/平米/月;北京海青物业管理有限公司;北京金源鸿大房地产开发有限公司;10栋;2307户;时雨园店/海淀区蓝靛厂中路时雨园甲2-11
安宁里南区;(海淀安宁庄)安宁里南区;1999年建成;塔楼/板楼;0.8至1.9元/平米/月;北京鼎春德物业管理有限公司;北京上地房地产开发有限责任公司;9栋;1659户;实验二小店/海淀区清河安宁庄东路18号10号楼20幢
北洼西里;(海淀紫竹桥)北洼西里;1980年建成;塔楼/板楼/塔板结合;0.98至2元/平米/月;北京首华物业管理有限公司;无开发商;12栋;1648户;中海店/海淀北洼路28号商住楼B段一层
国兴家园;(海淀甘家口)国兴家园;2000年建成;塔楼/板楼;2.7元/平米/月;北京国兴三吉利物业管理有限责任公司;北京能源房地产开发有限责任公司;7栋;908户;国兴家园店/海淀区首体南路2号东区7栋
上地西里;(海淀上地)信息路23号;1997年建成;板楼;1.35至2元/平米/月;北京实创上地物业管理服务有限责任公司;北京实创房地产开发公司;18栋;992户;上地环岛店/海淀区上地东里四1号楼一层甲1号
绿波漫板;(海淀四季青)五路居裕泽园;2003年建成;板楼/塔板结合;2.2至2.27元/平米/月;北京首欣物业管理有限责任公司;北京裕泽房地产开发有限责任公司;8栋;808户;绿波国际店/海淀区五路居裕泽园小区6号楼底商
龙湖唐宁one;(海淀五道口)中关村东路16号院;2011年建成;塔楼/板楼/塔板结合;4.7至7.8元/平米/月;北京龙湖物业管理公司;北京龙湖时代置业有限公司;12栋;2472户;清华大学店/海淀区中关村东路16号院1号楼一层110
菊园;(海淀马连洼)马连洼菊园;1994年建成;板楼/平房;0.8至1.8元/平米/月;北京东居物业管理有限公司;北京海开房地产股份有限公司;29栋;1705户;亿城西山华府店/海淀区马连洼竹园32号楼1层102
时代之光名苑;(海淀西直门)西直门北大街45号;2001年建成;塔楼/塔板结合;3.5至80元/平米/月;北京鲁能物业管理有限责任公司;北京京洲房地产开发有限公司;4栋;608户;时代之光南门店/海淀西直门北大街45号2号楼1层101东侧部分
展春园;(海淀五道口)展春园;1982年建成;板楼;暂无信息;北京安居物业管理有限公司;北京城建集团;26栋;1924户;东升园公寓店/海淀区东升园公寓1号楼
双榆树西里;(海淀双榆树)科学院南路双榆树西里;1980年建成;塔楼/板楼;2.07元/平米/月;单位自管物业;无开发商;8栋;1079户;华星影城店/海淀区双榆树西里工商银行东侧商铺门面
安宁佳园;(海淀安宁庄)安宁佳园;2007年建成;塔楼/塔板结合;1.9元/平米/月;北京实创科技园经营服务公司;北京上地房地产开发有限责任公司;7栋;913户;上奥世纪店/昌平西三旗桥东上奥世纪1号楼一层门脸1
枫丹丽舍;(海淀西三旗)建材城中路1号;2000年建成;板楼;2.93元/平米/月;北京瑞赢酒店物业管理有限公司;北京爱立斯房地产开发有限公司;54栋;1525户;枫丹丽舍店/海淀区建材城中路甲7号楼1层101
金尚嘉园;(海淀牡丹园)花园路甲2号院;2007年建成;板楼/塔板结合;2.97元/平米/月;五矿物业管理有限公司;五矿房地产;4栋;918户;金尚嘉园店/海淀区花园甲2号院2号楼1层2101
玉海园三里;(海淀玉泉路)玉泉路8号;1999年建成;塔楼/板楼;0.84至1.4元/平米/月;北京市玉海辉物业管理有限公司;北京海开房地产集团公司;28栋;1821户;玉海园新店/海淀区采石路玉海园5里20号楼一层底墒
天兆家园;(海淀西直门)笑祖塔院天兆家园;2002年建成;塔楼/板楼/塔板结合;2.7至2.8元/平米/月;北京首欣物业管理有限责任公司;北京天缘兆业房地产开发有限公司;10栋;994户;天兆家园东门店/海淀区明光村16楼南侧
碧水云天;(海淀万柳)圣化寺路;2003年建成;塔楼/板楼;2.2至2.5元/平米/月;北京亿城物业管理有限公司;北京亿城房地产开发有限公司;12栋;1504户;碧水云天店/海淀区巴沟南路万柳星标家园11号楼底商链家地产
翠微中里;(海淀公主坟)翠微中里;1986年建成;塔楼/板楼;1.1至2.5元/平米/月;北京中房物业公司;中国房地产开发北京公司;16栋;2122户;万寿路店/海淀区万寿路乙十四号楼
满庭芳园;(海淀双榆树)青云里满庭芳园;1999年建成;塔楼/平房;2.5元/平米/月;第一物业服务（北京）有限公司;北京当代城市房地产开发有限公司;8栋;1273户;满庭芳园店/海淀区青云里满庭芳园8号底商
紫金长安;(海淀五棵松)西翠路17号院;2004年建成;板楼/塔板结合;2.6元/平米/月;北京银达物业管理有限公司;北京澳林房地产开发有限公司;18栋;2351户;紫金长安一店/海淀西翠路17号院19号楼1层商铺3
文慧园;(海淀新街口)文慧园;1998年建成;塔楼/板楼;0.5至1.86元/平米/月;北京羲和物业管理中心;北京市威凯房地产开发经营公司;10栋;1313户;金晖嘉园店/海淀区德胜门西大街15号1号楼D3
橙色年代;(海淀六里桥)万丰路18号院;2004年建成;塔楼/板楼/塔板结合;1.46至2.5元/平米/月;北京首华物业管理有限公司;北京耀辉置业有限公司;5栋;942户;万丰路店/海淀区万丰路18号院1号楼底商103(橙色年代)
